file,K,seed,total_cost,rmse_ee,ISE,IAE,sigma_min_all,solve_ms_mean,solve_ms_p95,solve_ms_max,sigma_Mk_min,sigma_Mk_mean,sigma_Mk_p10,slack_inf_max,slack_inf_mean,slack_violation_rate,kkt_max,eq_max,status_fail_count
run_fixedk_K510_seed004.npz,510,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,59.81525250244886,89.94474997743964,103.69069990701973,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K560_seed000.npz,560,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,61.2375804875046,90.44558982132001,158.78070006147027,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K560_seed001.npz,560,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,61.92073350423016,89.83985510421917,125.93990005552769,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K560_seed002.npz,560,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,61.096673008287326,92.27343992097303,143.7582999933511,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K560_seed003.npz,560,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,65.75707550742663,100.68288008915259,138.19349999539554,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K560_seed004.npz,560,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,60.61272048857063,91.745000006631,120.96329987980425,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K610_seed000.npz,610,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,60.88304949225858,89.77262013358995,136.49840001016855,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K610_seed001.npz,610,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,63.24244250427,93.33517509512603,132.3285000398755,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K610_seed002.npz,610,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,61.796492502326146,92.35230509657411,148.22699991054833,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K610_seed003.npz,610,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,65.16025600256398,96.39929991681129,178.40899992734194,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K610_seed004.npz,610,4,0.18309462711214616,0.13920579544033973,2.6439770258531784e-05,3.3529199856496326e-05,10.617474151254688,59.82729599578306,90.28883998980746,103.74529985710979,0.18899920267028164,0.2197392343378821,0.2045219183387247,4.515756799113763,0.25743271970810166,0.93,20219721.218092542,3.4171025383487205e-05,3
run_fixedk_K660_seed000.npz,660,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,62.189324002247304,92.01929005794227,151.41090005636215,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K660_seed001.npz,660,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,62.76076500187628,92.04117000335827,107.14539978653193,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K660_seed002.npz,660,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,60.28443899936974,90.3486351133324,109.55199995078146,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K660_seed003.npz,660,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,62.12164999335073,90.87230487493798,131.96570007130504,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K660_seed004.npz,660,4,0.16659075862033276,0.1347132554525245,2.6360297973584797e-05,3.3769798018363306e-05,10.617474151254688,62.934427502332255,93.19745019311084,103.1978998798877,0.18899920267028164,0.2208292463276208,0.20506569275340492,4.552844580043525,0.16971616734571085,0.89,20188233.208453633,1.1448741365702672e-05,2
run_fixedk_K710_seed000.npz,710,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,62.1102600148879,92.90770492516457,159.84380012378097,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K710_seed001.npz,710,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,67.61797500657849,100.62857999000698,203.19859986193478,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K710_seed002.npz,710,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,59.77372900350019,90.00217000721021,120.07870012894273,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
