trial_id,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95
89,20000,1.0,1,0.07182265887719799,0.08485335698728903,82.34894000022905,148.45537501969375,0.0004930351507083841,0.0001240907267765003,2,1,580.0575719649562,736.1999999999998
90,20000,2.0,1,0.04118953415220371,0.03033377694471468,220.22350325190928,337.65204499359186,0.0006775484769913904,0.00010544265416797857,2,398,198.2636815920398,180.0
91,20000,5.0,1,0.04750127222875112,0.03955619744195596,219.67505224922206,329.55510503961693,0.005316449163012334,0.00011983258686147222,4,400,180.0,180.0
92,30000,0.2,1,0.04019373023493323,0.029141567391365076,178.40728375100298,249.67600001837127,0.0023879800068790915,0.0002205453961795096,7,0,68.47,77.0
93,30000,0.3,1,0.049932961170790796,0.0431131936731918,227.7329317483236,353.3120399748441,0.002178915799375993,0.0001446878112667635,5,0,103.3075,113.04999999999995
94,30000,0.4,1,0.06710637680616714,0.07519033423159448,312.7674327479326,535.6951050693168,0.0010983325149213886,0.00011834471297688477,3,0,154.18,172.0
95,30000,0.45,1,0.050387105827542245,0.04369866242671502,296.3127977485419,420.55338006466553,0.0006601364933178433,0.00010860539716056145,4,0,176.2925,188.04999999999995
96,30000,0.5,1,0.06862306897231171,0.07830081383178218,295.67215674818726,451.2289000616874,0.0007979433751980299,0.00010981442820394949,2,0,201.565,229.0
97,30000,0.55,1,0.05107060203921516,0.04455463077225071,327.28108324779896,634.3142100668047,0.006025446153162655,0.0001719710977069164,3,0,226.8725,247.0
98,30000,0.6,1,0.059213433739773697,0.05889197356364749,325.1659640032449,684.156080003595,0.008729798849674182,0.00017481457219812053,3,0,256.2025,293.04999999999995
99,30000,0.65,1,0.05806915186765481,0.05666844162925594,259.9181150030927,580.909930012421,0.0014385845026689765,0.00010093151887501721,4,0,283.96,331.2999999999997
100,30000,0.7,1,0.061487383030683386,0.0631130065769796,285.03025724960025,670.2776799967971,0.0030862221674514013,0.00013184535426245407,3,0,315.7825,356.04999999999995
101,30000,0.8,1,0.05739881560807466,0.05535835901083015,301.87280750396894,923.4578500094358,0.00500800689537087,0.0003377920907117775,3,0,383.245,467.14999999999986
102,30000,1.0,1,0.07182265887719799,0.08485335698728903,82.52912999683758,149.588385008974,0.0004930351507083841,0.0001240907267765003,2,1,580.0575719649562,736.1999999999998
103,30000,2.0,1,0.04118953415220371,0.03033377694471468,220.335598247475,333.87042497633894,0.0006775484769913904,0.00010544265416797857,2,398,198.2636815920398,180.0
104,30000,5.0,1,0.04750127222875112,0.03955619744195596,219.3924709968269,330.53707999060845,0.005316449163012334,0.00011983258686147222,4,400,180.0,180.0
