sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.06,27,fixedK40,40,0,1,1,19,148,0.4948805460750853,94,1,1.0,1.0,0.11419490361095086,40.0,40.0,3.539194041394448,nan,nan,nan
0.06,27,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.15056773626001813,50.906666666666666,90.0,0.8049774224808953,9.994086598864891,61.06412267904835,577.0
0.06,28,fixedK40,40,0,1,1,19,206,0.7572463768115942,198,1,1.0,1.0,0.12649686168116414,40.0,40.0,1.295020035497584,nan,nan,nan
0.06,28,unified_a001,40,0,1,1,19,218,0.7033333333333334,211,1,1.0,1.0,0.1364988626133345,46.95666666666666,87.0,1.87323670679938,16.71903473441638,65.32599678575896,577.0
0.06,29,fixedK40,40,0,1,1,19,168,0.5666666666666667,160,1,1.0,1.0,0.12045965096331808,40.0,40.0,2.076070097317552,nan,nan,nan
0.06,29,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16032716514003065,51.42666666666667,84.0,0.7390032961755866,11.028182134899328,60.45214090705352,577.0
0.08,0,fixedK40,40,1,1,0,19,-1,0.9666666666666667,290,1,1.0,1.0,0.13358957555335413,40.0,40.0,0.7506959528831899,nan,nan,nan
0.08,0,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16338609014000516,50.24666666666667,89.0,1.314027278949738,12.398105422661972,60.49216605456879,577.0
0.08,1,fixedK40,40,0,1,1,19,176,0.6466666666666666,170,1,1.0,1.0,0.1313918498533288,40.0,40.0,2.3854052862886856,nan,nan,nan
0.08,1,unified_a001,40,0,1,1,19,121,0.6451612903225806,96,1,1.0,1.0,0.13825522019893197,45.763440860215056,76.0,2.6056312260284873,21.244942520863283,69.87541983599158,577.0
0.08,2,fixedK40,40,0,1,1,19,102,0.49666666666666665,84,1,1.0,1.0,0.12626976850334964,40.0,40.0,2.8402667686184766,nan,nan,nan
0.08,2,unified_a001,40,0,1,1,19,238,0.75,185,1,1.0,1.0,0.15656916998333448,47.693333333333335,84.0,1.9926930716374387,15.257456449721746,64.05037641318714,577.0
0.08,3,fixedK40,40,0,1,1,19,125,0.38333333333333336,63,1,1.0,1.0,0.12277946763333905,40.0,40.0,3.055695142012162,nan,nan,nan
0.08,3,unified_a001,40,0,1,1,19,71,0.5514705882352942,62,1,1.0,1.0,0.1539669194117537,47.38970588235294,81.0,2.9073595172244935,26.20396530164164,71.46349271209795,577.0
0.08,4,fixedK40,40,0,1,1,19,49,0.62,68,1,1.0,1.0,0.1364066497600743,40.0,40.0,3.0134710884551947,nan,nan,nan
0.08,4,unified_a001,40,0,1,1,19,137,0.7833333333333333,132,1,1.0,1.0,0.15033196165665685,47.376666666666665,79.0,2.6487226269684823,18.49255937574792,63.240032284063965,577.0
0.08,5,fixedK40,40,0,1,1,19,220,0.8266666666666667,131,1,1.0,1.0,0.13912904564996703,40.0,40.0,1.5567604760576546,nan,nan,nan
0.08,5,unified_a001,40,0,1,1,19,273,0.87,261,1,1.0,1.0,0.14891619362002528,46.92333333333333,90.0,1.78661837874774,13.544433361973637,63.16986551970663,577.0
0.08,6,fixedK40,40,0,1,1,19,170,0.61,123,1,1.0,1.0,0.1278893995633522,40.0,40.0,2.629400828863824,nan,nan,nan
0.08,6,unified_a001,40,0,1,1,19,237,0.7533333333333333,216,1,1.0,1.0,0.1427234080533405,46.34,78.0,2.3390674884740053,18.352847445163704,64.39081472245846,577.0
0.08,7,fixedK40,40,1,1,0,19,-1,0.9666666666666667,290,1,1.0,1.0,0.12776890404998084,40.0,40.0,0.906814927717173,nan,nan,nan
0.08,7,unified_a001,40,0,1,1,19,188,0.79,157,1,1.0,1.0,0.13844165640667294,46.333333333333336,76.0,2.0701713168098754,15.938157561285188,64.227452197696,577.0
0.08,8,fixedK40,40,0,1,1,19,86,0.5933333333333334,86,1,1.0,1.0,0.12502184223666216,40.0,40.0,3.1385005187279975,nan,nan,nan
0.08,8,unified_a001,40,0,1,1,19,148,0.7866666666666666,141,1,1.0,1.0,0.15445124282335806,49.64666666666667,78.0,2.4123820928048327,17.498282893969936,62.85344781268929,577.0
0.08,9,fixedK40,40,1,1,0,155,-1,0.63,98,1,1.0,1.0,0.11870823820001229,40.0,40.0,3.4042561536570655,nan,nan,nan
