K,seed,t,sigma_min_Mk,solve_ms,slack_inf,status
710,3,40,0.23183780298977474,35.42839991860092,0.015458301226569039,optimal
710,3,41,0.22640500710844436,52.263000048696995,0.053658706393464296,optimal
710,3,42,0.2302356385177484,46.65159992873669,0.08041302875552156,optimal
710,3,43,0.21228655217996412,84.45880003273487,2.8788025269118283,optimal
710,3,44,0.2229980261241775,40.77059985138476,0.18222695769499592,optimal
710,3,45,0.2436466171114017,88.6272001080215,0.2970857225566613,user_limit
710,3,46,0.2326137812449938,38.12289983034134,1.4967934227439867,optimal
710,3,47,0.22717118251885163,53.0458998400718,0.09820777919114554,optimal
710,3,48,0.23107203238263666,35.710199968889356,0.1998424604172891,optimal
710,3,49,0.21647608538278057,89.54019984230399,1.636601333051435,optimal_inaccurate
710,3,50,0.22110347578343353,37.091200007125735,8.139920684575447,optimal
710,3,51,0.23298127692382525,42.93949995189905,1.2538321145839175,optimal
710,3,52,0.2273848342466199,51.49129987694323,0.519285604063894,optimal
710,3,53,0.22369936015494568,67.77870003134012,0.008899512142706682,optimal
710,3,54,0.25258630987464425,46.079699881374836,0.023461856634298235,optimal
710,3,55,0.22210919630087403,38.766900077462196,0.042914639462322476,optimal
710,3,56,0.24005835207536216,91.63909987546504,1.2152654686592026,user_limit
710,3,57,0.22883919751051693,52.45370022021234,1.6061605349648396,optimal
710,3,58,0.21840410244608122,88.9624000992626,0.3896699687957854,optimal
710,3,59,0.2276898670354446,46.27320007421076,0.3788294226401562,optimal
710,3,60,0.2140677373319068,48.950300086289644,0.025093073815449625,optimal
710,3,61,0.21673153880932128,79.24029999412596,0.012922091327820382,optimal
710,3,62,0.22622173170326332,35.06100014783442,0.11013780428433957,optimal
710,3,63,0.2131263563544221,87.8885998390615,0.35396467709385715,optimal_inaccurate
710,3,64,0.21443827821841552,60.53710007108748,0.007748754957771412,optimal
710,3,65,0.21539340370866772,86.71619999222457,0.048775472089109706,optimal_inaccurate
710,3,66,0.2301185748862135,68.1872998829931,0.0005619084944294365,optimal
710,3,67,0.22543905914043766,41.93569999188185,0.0003806231910001768,optimal
710,3,68,0.219181571747789,66.35290011763573,0.0004982165984456868,optimal
