K,seed,rmse,cost,ISE,IAE,solve_mean,solve_var,solve_p95,sigma_mk_mean,sigma_mk_var,sigma_mk_min,sigma_mk_p10,slack_mean,slack_var,slack_max,K_opt_mean,K_opt_var,K_opt_min,K_opt_max,solver_opt_rate,solver_nonopt_count
360,2,0.09843890691273745,0.1563456711173426,3.7653474467144244e-05,5.080681572242595e-05,281.17134350468405,12780.75048754639,479.3508349801411,0.401512238272835,0.0008847117541633235,0.3125879032335247,0.34136676701861435,9.551116836048853e-05,8.252893410817559e-10,0.000368014049228277,360.0,0.0,360.0,360.0,1.0,0.0
360,3,0.09917115029109586,0.15869097260264237,3.8275434692563976e-05,5.1916256738030306e-05,282.1561529993778,9769.564659374491,435.9477901947684,0.40539155944296384,0.0006672036486667141,0.3009408949130258,0.3648817322468593,9.686318122373027e-05,9.255688030397609e-10,0.00035930356088791267,360.0,0.0,360.0,360.0,1.0,0.0
360,4,0.09638234033405897,0.14973250097173005,3.6737327841166924e-05,4.9704829839245474e-05,277.6934065000387,11586.309312466947,454.40346013056103,0.4002662665384857,0.0009794778126820467,0.30619307372485816,0.3365675534987238,9.70599347441443e-05,6.432745705260331e-10,0.00033435250911102515,360.0,0.0,360.0,360.0,1.0,0.0
410,0,0.12603176765466922,0.25509489154964754,5.012299186612254e-05,6.206584758748248e-05,89.71792975557037,307.4661282044756,116.37819005409254,0.4545289828464182,0.000160299259084844,0.4180300094711919,0.4346412922202331,0.00014447367873046904,2.6872719536723806e-09,0.00028223654961194173,410.0,0.0,410.0,410.0,1.0,0.0
410,1,0.13015162413721726,0.2718400537618517,5.197466707732738e-05,6.397742883138525e-05,96.44966524501797,316.6375431676729,120.4599199001677,0.45599493572585503,6.563357960100417e-05,0.4299498766149225,0.44534921792063015,0.00015648243557021474,1.7817110283178776e-09,0.0003284717177718323,410.0,0.0,410.0,410.0,1.0,0.0
410,2,0.1270772194954681,0.2594503060031941,5.0590217968343246e-05,6.262544384210877e-05,94.4013654999435,365.68418170042975,123.13385482411827,0.45531340962551003,0.00012802856800646494,0.41848506501543054,0.43719723540628813,0.00014421059172173875,2.562157889525018e-09,0.00031802677809640193,410.0,0.0,410.0,410.0,1.0,0.0
410,3,0.12582458031739846,0.2544325290177415,5.001546217953813e-05,6.210505831081445e-05,87.58743825834244,353.41951216422945,114.9221101310104,0.4530690524715222,0.00016274204446397098,0.4177201198837847,0.43274755176165697,0.00014082300868432506,2.6427316395380017e-09,0.0003254687937735073,410.0,0.0,410.0,410.0,1.0,0.0
410,4,0.12886204401375817,0.26649541663990783,5.138248441426809e-05,6.263029775165439e-05,93.41588600014802,288.1601569839884,116.26208001980558,0.4571839843518077,0.00010355091344902326,0.4262056948232829,0.442258784883798,0.00015197375400649352,2.1707560509039294e-09,0.0002572356873258265,410.0,0.0,410.0,410.0,1.0,0.0
460,0,0.12421590269541728,0.24773558533915493,4.943333507604813e-05,6.229283295361281e-05,85.50095350248739,393.1174239687953,113.63161478657275,0.48199066026397425,0.000231344371459243,0.44754292088869335,0.45483673103895156,0.0001295609667116605,2.210765903134105e-09,0.0003110846290395176,460.0,0.0,460.0,460.0,1.0,0.0
460,1,0.1301742671107255,0.27177028152756033,5.199291310247655e-05,6.396269670277915e-05,101.90657850180287,453.90539934783664,131.7030800273642,0.4919728671351443,5.219064904856748e-05,0.4628242865586361,0.4835903412780598,0.00015106525219315666,1.4340261040358972e-09,0.00027501455521394526,460.0,0.0,460.0,460.0,1.0,0.0
460,2,0.1239350865125222,0.2467701887557046,4.9306073873686064e-05,6.240112212670575e-05,90.0038712559035,541.8055730598124,125.49123007338493,0.4825717503738444,0.000234432962431903,0.44546199755968185,0.45577088872815835,0.00013054419573058044,2.3570673289691567e-09,0.0003557338503214855,460.0,0.0,460.0,460.0,1.0,0.0
460,3,0.12626514579455844,0.2561783896918589,5.026369872698182e-05,6.291222435496467e-05,89.79783650604077,313.3770480051501,114.0124100493267,0.4841456542970684,0.00017147355760714042,0.44676847163243044,0.46017923465676186,0.0001358801441115497,2.4546479752065215e-09,0.00033592092024832776,460.0,0.0,460.0,460.0,1.0,0.0
460,4,0.1254881941354947,0.25262118457918364,4.998689722089981e-05,6.252098203668859e-05,87.59044751117472,299.1663727917358,112.83637504093348,0.4849363387379796,0.00020720002255187825,0.4473040214435878,0.45841386089201075,0.00013182359663173546,1.9728593753963663e-09,0.0002440358029089662,460.0,0.0,460.0,460.0,1.0,0.0
510,0,0.12668960926292747,0.2575480231673952,5.0519262389636855e-05,6.327983365311811e-05,82.40492323995568,181.39086645999635,104.13389489986002,0.5136151262970463,0.00014454828222947692,0.4668911486417933,0.49327609766262226,0.0001228607110089696,1.744175841608816e-09,0.0002558022531979732,510.0,0.0,510.0,510.0,1.0,0.0
510,1,0.12780252032845227,0.26183378406105495,5.105353404273683e-05,6.29040621639969e-05,91.59318300837185,189.2149728331191,105.99742013728245,0.5359092619711899,5.2670529271835725e-05,0.48889161013063925,0.5308645453973901,0.00015086148799386745,7.168590195184065e-10,0.00024455933777163866,510.0,0.0,510.0,510.0,1.0,0.0
510,2,0.1299174024009963,0.2709263401993949,5.186794583559684e-05,6.42233587728636e-05,91.18460950732697,239.94355844868775,113.83638012921436,0.5180928771104858,6.349640811121267e-05,0.4872773784859207,0.5084848794326428,0.00013740164431579142,1.5520169528067777e-09,0.00029742537386069135,510.0,0.0,510.0,510.0,1.0,0.0
510,3,0.12838611603943995,0.26467330109188053,5.120761364522412e-05,6.388687706936445e-05,86.46565374918282,229.0666317446855,105.41861002566291,0.5160230077115514,0.0001022003779142162,0.48138013419710607,0.5009850023467657,0.00012756520575879453,1.8567171016135126e-09,0.0003174077921589216,510.0,0.0,510.0,510.0,1.0,0.0
