seed,method,K,fail_practical,infeasible_step_rate,fallback_episode,mean_solve_time,mean_K_used,max_K_used,success,reached,fall_down
36,fixedK80,80,1,0.48,1,0.2265521278867406,80.0,80.0,1,1,0
36,unified_a001,40,1,0.7966666666666666,1,0.17835272707332478,68.01666666666667,80.0,1,1,0
37,fixedK30,30,1,0.96,1,0.12244974516338819,30.0,30.0,1,1,0
37,fixedK40,40,1,0.86,1,0.14015936082662545,40.0,40.0,1,1,0
37,fixedK50,50,1,0.8233333333333334,1,0.15368439623669475,50.0,50.0,1,1,0
37,fixedK60,60,1,0.8433333333333334,1,0.16726898400332477,60.0,60.0,1,1,0
37,fixedK70,70,1,0.7566666666666667,1,0.1996297793033227,70.0,70.0,1,1,0
37,fixedK80,80,1,0.62,1,0.23834354570670258,80.0,80.0,1,1,0
37,unified_a001,40,1,0.7966666666666666,1,0.19200264331998065,68.53333333333333,75.0,1,1,0
38,fixedK30,30,1,0.93,1,0.13630812292002398,30.0,30.0,1,1,0
38,fixedK40,40,1,0.88,1,0.1533568423566127,40.0,40.0,1,1,0
38,fixedK50,50,1,0.8533333333333334,1,0.1653618062167637,50.0,50.0,1,1,0
38,fixedK60,60,1,0.8366666666666667,1,0.18134232642337642,60.0,60.0,1,1,0
38,fixedK70,70,1,0.7966666666666666,1,0.18754702641007195,70.0,70.0,1,1,0
38,fixedK80,80,1,0.4033333333333333,1,0.24517230804001278,80.0,80.0,1,1,0
38,unified_a001,40,1,0.7933333333333333,1,0.196471382626684,68.35,75.0,1,1,0
39,fixedK30,30,1,0.8866666666666667,1,0.12805255098336904,30.0,30.0,1,1,0
39,fixedK40,40,1,0.8166666666666667,1,0.1484375724999518,40.0,40.0,1,1,0
39,fixedK50,50,1,0.8566666666666667,1,0.1627742414933103,50.0,50.0,1,1,0
39,fixedK60,60,1,0.8466666666666667,1,0.19088114332002684,60.0,60.0,1,1,0
39,fixedK70,70,1,0.8066666666666666,1,0.21398274706341908,70.0,70.0,1,1,0
39,fixedK80,80,1,0.5033333333333333,1,0.23509163137664169,80.0,80.0,1,1,0
39,unified_a001,40,1,0.8,1,0.17984771809331504,68.26666666666667,75.0,1,1,0
40,fixedK30,30,1,0.8566666666666667,1,0.11851099082665315,30.0,30.0,1,1,0
40,fixedK40,40,1,0.88,1,0.14828459671999858,40.0,40.0,1,1,0
40,fixedK50,50,1,0.8,1,0.15593042690996906,50.0,50.0,1,1,0
40,fixedK60,60,1,0.8133333333333334,1,0.17723757057997014,60.0,60.0,1,1,0
40,fixedK70,70,1,0.8266666666666667,1,0.21830857025658892,70.0,70.0,1,1,0
40,fixedK80,80,1,0.6933333333333334,1,0.2583650771199427,80.0,80.0,1,1,0
40,unified_a001,40,1,0.7166666666666667,1,0.31459428043667986,71.83333333333333,75.0,1,1,0
41,fixedK30,30,1,0.89,1,0.1823743236166168,30.0,30.0,1,1,0
41,fixedK40,40,1,0.81,1,0.2068651004266879,40.0,40.0,1,1,0
41,fixedK50,50,1,0.8666666666666667,1,0.24647599222009375,50.0,50.0,1,1,0
41,fixedK60,60,1,0.8266666666666667,1,0.2652580554232615,60.0,60.0,1,1,0
41,fixedK70,70,1,0.8833333333333333,1,0.36565812668989867,70.0,70.0,1,1,0
41,fixedK80,80,1,0.8766666666666667,1,0.2933419122532966,80.0,80.0,1,1,0
41,unified_a001,40,1,0.9633333333333334,1,0.19560142443334066,49.983333333333334,80.0,0,1,1
42,fixedK30,30,1,1.0,1,0.11263045398664569,30.0,30.0,1,1,0
42,fixedK40,40,1,0.8066666666666666,1,0.13848451443669546,40.0,40.0,1,1,0
42,fixedK50,50,1,0.82,1,0.13641313818665973,50.0,50.0,1,1,0
42,fixedK60,60,1,0.8166666666666667,1,0.15124869919339592,60.0,60.0,1,1,0
42,fixedK70,70,1,0.8133333333333334,1,0.17217389209663453,70.0,70.0,1,1,0
42,fixedK80,80,1,0.5266666666666666,1,0.19692864459993265,80.0,80.0,1,1,0
42,unified_a001,40,1,0.8,1,0.1609833959699184,68.06666666666666,80.0,1,1,0
43,fixedK30,30,1,0.9466666666666667,1,0.10736816027663129,30.0,30.0,1,1,0
43,fixedK40,40,1,0.92,1,0.1480840971799383,40.0,40.0,1,1,0
43,fixedK50,50,1,0.7833333333333333,1,0.21715214358999826,50.0,50.0,1,1,0
43,fixedK60,60,1,0.8233333333333334,1,0.20727727821666728,60.0,60.0,1,1,0
