sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.0,14,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.7866666666666666,1.0,0.20777801240336277,80.0,80.0,0.5083185223764025,nan,nan,nan
0.0,14,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8433333333333334,1.0,0.16965524251332983,66.55,75.0,0.28477141410283485,9.105674703520059,60.395031549662306,577.0
0.0,15,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.9433333333333334,1.0,0.10097257220667719,30.0,30.0,0.07970809827243057,nan,nan,nan
0.0,15,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.9066666666666666,1.0,0.1269041304766506,40.0,40.0,0.10306345033051853,nan,nan,nan
0.0,15,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8733333333333333,1.0,0.13584299057664795,50.0,50.0,0.1346989206439202,nan,nan,nan
0.0,15,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.85,1.0,0.14604264892330926,60.0,60.0,0.17944121768241736,nan,nan,nan
0.0,15,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7933333333333333,1.0,0.15832683292000488,70.0,70.0,0.22260692378235697,nan,nan,nan
0.0,15,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.44,1.0,0.19529627722665585,80.0,80.0,0.24866552933362573,nan,nan,nan
0.0,15,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8,1.0,0.1554070424833541,68.28333333333333,75.0,0.21895955551573507,9.604300949448174,59.644197639727885,577.0
0.0,16,fixedK30,30,0,1,1,19,118,0.7266187050359713,110,1,0.9676258992805755,1.0,0.10096763847841168,30.0,30.0,1.1730933493364963,nan,nan,nan
0.0,16,fixedK40,40,0,1,1,19,183,0.7933333333333333,175,1,0.9733333333333334,1.0,0.13475007737000244,40.0,40.0,1.6425631285697717,nan,nan,nan
0.0,16,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8666666666666667,1.0,0.16023247943662985,50.0,50.0,0.17615543281831147,nan,nan,nan
0.0,16,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.85,1.0,0.17851557735330364,60.0,60.0,0.20704406636104258,nan,nan,nan
0.0,16,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.8366666666666667,1.0,0.2313670075033527,70.0,70.0,0.2693753687266976,nan,nan,nan
0.0,16,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.88,1.0,0.24273725877669372,80.0,80.0,0.32114960817632,nan,nan,nan
0.0,16,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8266666666666667,1.0,0.1900183779466685,64.96666666666667,75.0,0.2450372793169888,8.99331275640071,60.64774418543612,577.0
0.0,17,fixedK30,30,0,1,1,19,87,0.36,78,1,0.98,1.0,0.10373849052335875,30.0,30.0,3.700827765052615,nan,nan,nan
0.0,17,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.91,1.0,0.14490323761000884,40.0,40.0,0.1319797524857925,nan,nan,nan
0.0,17,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.7366666666666667,1.0,0.14954967613337128,50.0,50.0,0.16140174600583265,nan,nan,nan
0.0,17,fixedK60,60,0,1,1,19,177,0.6,164,1,0.96,1.0,0.1735933795966624,60.0,60.0,4.01761113585472,nan,nan,nan
0.0,17,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.8733333333333333,1.0,0.2160689842133191,70.0,70.0,0.2940146205230723,nan,nan,nan
0.0,17,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.8566666666666667,1.0,0.22590509747333576,80.0,80.0,0.31873192959992935,nan,nan,nan
0.0,17,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.86,1.0,0.19677883667669752,64.78333333333333,80.0,0.23213363662527825,8.960938548268018,60.639902250017066,577.0
0.0,18,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.9233333333333333,1.0,0.12972028818995568,30.0,30.0,0.08313609725250612,nan,nan,nan
0.0,18,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8366666666666667,1.0,0.14324210275000346,40.0,40.0,0.11008058232280926,nan,nan,nan
0.0,18,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8466666666666667,1.0,0.15925857402998495,50.0,50.0,0.15268773879944977,nan,nan,nan
0.0,18,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.8266666666666667,1.0,0.17866793155002597,60.0,60.0,0.20387684312735843,nan,nan,nan
0.0,18,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7566666666666667,1.0,0.19768281817666927,70.0,70.0,0.3739513751473937,nan,nan,nan
0.0,18,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.7166666666666667,1.0,0.2198626091866845,80.0,80.0,0.6535458065639056,nan,nan,nan
0.0,18,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.78,1.0,0.18844103916331126,66.7,75.0,0.3006098157645016,9.0943863258759,60.40754028495639,577.0
0.0,19,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.9633333333333334,1.0,0.12083392828335188,30.0,30.0,0.11251400888126191,nan,nan,nan
0.0,19,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.87,1.0,0.14243588248667038,40.0,40.0,0.14224478024270304,nan,nan,nan
0.0,19,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8833333333333333,1.0,0.16312269055998513,50.0,50.0,0.1518630199776348,nan,nan,nan
0.0,19,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.83,1.0,0.1813081954200061,60.0,60.0,0.22197374339257636,nan,nan,nan
0.0,19,fixedK70,70,0,1,1,32,41,0.18333333333333332,22,1,0.96,1.0,0.1688650916633105,70.0,70.0,7.914842080891094,nan,nan,nan
0.0,19,fixedK80,80,0,1,1,19,192,0.6433333333333333,181,1,0.94,1.0,0.22648038526997274,80.0,80.0,4.925849489627674,nan,nan,nan
0.0,19,unified_a001,40,0,1,1,19,98,0.8,141,1,0.92,1.0,0.1707912988799914,55.65,95.0,0.8456606376725527,14.121420660116689,62.322688209732334,577.0
0.0,20,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.8133333333333334,1.0,0.11570781886666434,30.0,30.0,0.07520699212586376,nan,nan,nan
0.0,20,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8266666666666667,1.0,0.13430330178998096,40.0,40.0,0.10070748684727984,nan,nan,nan
0.0,20,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.81,1.0,0.1634031373599919,50.0,50.0,0.14712458465049089,nan,nan,nan
