sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,upright_fraction,longest_upright_streak,fall_event_count,local_min_cands,local_max_cands
0.03,3,unified_a001,1,1,0,53,-1,0.1338046162799886,51.6,85.0,1.0,10.996787458604718,63.27542535976477,577.0,0.8866666666666667,266,0,100,1000
0.03,4,fixedK40,1,1,0,85,-1,0.11414287053667674,40.0,40.0,nan,nan,nan,nan,0.78,234,0,100,1000
0.03,4,unified_a001,0,1,1,63,165,0.1162721310566576,44.11666666666667,80.0,1.0,22.461782025453584,70.05134350883596,577.0,0.44666666666666666,113,2,100,1000
0.03,5,fixedK40,1,1,0,109,-1,0.11683383526334941,40.0,40.0,nan,nan,nan,nan,0.7533333333333333,210,2,100,1000
0.03,5,unified_a001,0,1,1,63,70,0.10898884083999595,42.6,75.0,1.0,28.240215180794365,75.46555424066348,577.0,0.20333333333333334,35,3,100,1000
0.03,6,fixedK40,1,1,0,183,-1,0.10643185124666767,40.0,40.0,nan,nan,nan,nan,0.4533333333333333,136,0,100,1000
0.03,6,unified_a001,0,1,1,67,275,0.13477782443998876,52.483333333333334,85.0,1.0,18.103296997877685,63.546140342753134,577.0,0.73,219,1,100,1000
0.03,7,fixedK40,1,1,0,48,-1,0.10682760016132511,40.0,40.0,nan,nan,nan,nan,0.41935483870967744,26,1,100,1000
0.03,7,unified_a001,1,1,0,145,-1,0.12677019261331832,50.8,85.0,1.0,20.990357453561554,66.55522018063986,577.0,0.58,174,0,100,1000
0.03,8,fixedK40,0,1,1,70,197,0.10490664514998874,40.0,40.0,nan,nan,nan,nan,0.4633333333333333,139,1,100,1000
0.03,8,unified_a001,1,1,0,160,-1,0.12735528276996774,51.4,80.0,1.0,20.24912912465615,67.80023854079452,577.0,0.5533333333333333,159,1,100,1000
0.03,9,fixedK40,0,1,1,57,87,0.10408544068331291,40.0,40.0,nan,nan,nan,nan,0.3233333333333333,40,4,100,1000
0.03,9,unified_a001,1,1,0,52,-1,0.16151756609001192,60.21666666666667,85.0,1.0,14.073438956620139,61.00848700587754,577.0,0.89,267,0,100,1000
0.03,10,fixedK40,0,1,1,51,92,0.11526204238588886,40.0,40.0,nan,nan,nan,nan,0.6812080536912751,150,2,100,1000
0.03,10,unified_a001,1,1,0,246,-1,0.10686303235666855,43.983333333333334,80.0,1.0,28.299232005034888,74.74533612311815,577.0,0.24333333333333335,73,0,100,1000
0.03,11,fixedK40,1,1,0,214,-1,0.10416915235665783,40.0,40.0,nan,nan,nan,nan,0.36,105,1,100,1000
0.03,11,unified_a001,1,1,0,59,-1,0.13967250571999557,52.31666666666667,95.0,1.0,10.93624532131917,62.40125504250027,577.0,0.8566666666666667,146,2,100,1000
0.03,12,fixedK40,1,1,0,245,-1,0.09962467220665985,40.0,40.0,nan,nan,nan,nan,0.2966666666666667,74,2,100,1000
0.03,12,unified_a001,1,1,0,52,-1,0.15104619955001453,61.2,80.0,1.0,11.817668119041985,60.44018792342991,577.0,0.89,267,0,100,1000
0.03,13,fixedK40,1,1,0,171,-1,0.10285102974333313,40.0,40.0,nan,nan,nan,nan,0.49333333333333335,148,0,100,1000
0.03,13,unified_a001,1,1,0,158,-1,0.126234217663338,49.2,85.0,1.0,23.189518872103744,67.69910730075614,577.0,0.5833333333333334,161,2,100,1000
