seed,K,sigma_y,direct_set_ok,mean_sigma_min,min_sigma_min,mean_lambda_min,min_lambda_min,mean_solve_time
25,50,0.0,1,0.36706518581787356,0.3526598643577504,0.1347626316643673,0.12436897992882691,0.11339101066999319
26,50,0.0,1,0.3663841061737791,0.3526598643577504,0.13426431224576443,0.12436897992882691,0.11391441137997996
27,50,0.0,1,0.36925738124561924,0.3544798591053571,0.1364567978676141,0.12565597051135383,0.11451634913000362
28,50,0.0,1,0.3718475497811967,0.34189162815002955,0.13872442986092282,0.11688988539907809,0.11446025178667393
29,50,0.0,1,0.39388942319007525,0.347482934725658,0.1628755700792966,0.1207443899255559,0.1253165857099975
0,60,0.0,1,0.4210469032566802,0.3985135140792493,0.17731109846188653,0.158813020903792,0.12441310013000323
1,60,0.0,1,0.4371514233757869,0.37678508322797105,0.2006483231932976,0.14196699894310907,0.1312152253799953
2,60,0.0,1,0.43991458144763546,0.3818696371159174,0.196569850145802,0.14582441975104246,0.13802633342666165
3,60,0.0,1,0.42824774589291,0.39373355296217744,0.1875484225311967,0.15502611072821978,0.1291976081999898
4,60,0.0,1,0.4286330046921908,0.37644021906207703,0.18650765204651865,0.14170723852750453,0.13605914930998553
5,60,0.0,1,0.43531696075393306,0.3857006875487713,0.19275891612943757,0.14876502037559491,0.1320666436166827
6,60,0.0,1,0.4609736542138299,0.3925564510781242,0.2191671392114956,0.15410056728305171,0.14172262262999236
7,60,0.0,1,0.4266876452476244,0.35774504897219245,0.18511678284700286,0.12798152006411637,0.13119313973334404
8,60,0.0,1,0.4605844871967016,0.383349849844156,0.2240061413915215,0.14695710737553694,0.14181948723998783
9,60,0.0,1,0.4656194919748146,0.40722698720430445,0.22416331130542858,0.16583381910749473,0.14003897343333394
10,60,0.0,1,0.42860442890066625,0.3988760489117221,0.18457418069277678,0.15910210239542652,0.1295757433466618
11,60,0.0,1,0.4230198338319949,0.4032918673803043,0.17899421828132664,0.16264433029509298,0.12591708123999829
12,60,0.0,1,0.42812257591955133,0.4005466129753923,0.1851618763536093,0.1604375891660587,0.1289804964899986
13,60,0.0,1,1.0198000884512874,0.37753213806953523,2.833932811998588,0.1425305152753546,0.14734075430999838
14,60,0.0,1,0.4257389027971085,0.39578533056158033,0.1833213101630728,0.1566460278877394,0.1353478675099935
15,60,0.0,1,0.45430632041907243,0.41669016813729914,0.2071436614820519,0.17363069622229063,0.14729584510333402
16,60,0.0,1,0.42547516572417854,0.38490919265678186,0.1845938152332469,0.1481550865916956,0.13524486846000702
17,60,0.0,1,0.4569722971394026,0.3825675491572182,0.21618183733245752,0.14635792966816055,0.13414636281000183
18,60,0.0,1,0.4706859391155064,0.3877207478851423,0.22846731001863957,0.1503273783406141,0.15320236976666515
19,60,0.0,1,0.4315482750874485,0.35177918589430096,0.19281901195595721,0.12374859562845714,0.13615727875000477
20,60,0.0,1,0.42813681243663787,0.380461121981729,0.18625058387996593,0.14475066533959605,0.13566761957663553
21,60,0.0,1,0.4571123656998803,0.382013678590782,0.2206494207330894,0.1459344506304613,0.13853966804334505
22,60,0.0,1,0.42741303287022353,0.3883000072934485,0.18684978657678522,0.15077689566409216,0.13051995082665446
23,60,0.0,1,0.43416112242753874,0.3779454000487493,0.19545315329131693,0.14284272541800916,0.1371665762599999
24,60,0.0,1,0.4228847660470163,0.39318710336530405,0.1788830675674946,0.15459609825279827,0.12882755458998113
25,60,0.0,1,0.42268986094488536,0.4032918673803042,0.17871199466897664,0.16264433029509287,0.12482385594998505
26,60,0.0,1,0.42217770236813645,0.4032918673803042,0.17828123473701973,0.16264433029509287,0.1269108826433406
27,60,0.0,1,0.42421955264740796,0.4055231546601967,0.18000917381735082,0.16444902896555783,0.1280616911400087
28,60,0.0,1,0.42751060926808077,0.3957145239206683,0.18664240471206686,0.15658998444176117,0.13593858166331757
29,60,0.0,1,0.42299442494181755,0.39461507506818844,0.17899539865567884,0.155721057471072,0.12610534017000039
0,70,0.0,1,0.47359944657083103,0.43324993947660584,0.22434470039908538,0.18770551005648262,0.1385396577866868
1,70,0.0,1,0.4846784405857549,0.43750767649709715,0.24148041325734032,0.19141296699388863,0.13871358818998183
2,70,0.0,1,0.5028039825466698,0.4463109164932773,0.26309933265781316,0.19919343418106913,0.16036671817996043
3,70,0.0,1,0.48649937808205723,0.4250249193083113,0.24633773526229719,0.18064618203303656,0.1424152759866653
4,70,0.0,1,0.48306363583501477,0.4226221411963021,0.24022225253778742,0.17860947422934711,0.150906638893357
5,70,0.0,1,0.5047803162503912,0.42248617311718173,0.26994394019293616,0.17849456647520123,0.14210183300668178
6,70,0.0,1,0.4797427167926487,0.43418254181441013,0.23425516454628104,0.188514479616422,0.14411103069001002
